Link,Title,Location,Asking Price,Cash Flow,Gross Revenue,EBITDA,FF&E,Inventory
https://www.bizbuysell.com/Business-Opportunity/profitable-cellphone-computer-tablet-drone-repair-company-for-sale/1960811/?d=undefined,"
                    Profitable Cellphone, computer, tablet, drone repair company for sale
                ","
                    Bellingham, WA (Whatcom County)
                    
                ","$50,000
                        ","$35,000
                        ","$300,000
                        ",,"$10,000
                        ","$30,000*
                        "
https://www.bizbuysell.com/Business-Opportunity/turn-key-medical-supply-retail-business-established-15-years/1998965/?d=undefined,"
                    Turn Key Medical Supply Retail Business | Established 15+ Years
                ","
                    West Jordan, UT (Salt Lake County)
                    
                ","$285,000
                        ","$40,000
                        ","$300,000
                        ","N/A
                        ","$10,000
                        ",
https://www.bizbuysell.com/Business-Opportunity/profitable-established-phone-and-computer-mobile-repair-business/2017084/?d=undefined,"
                    Profitable established phone & computer mobile repair business
                ","
                    Los Angeles, CA (Los Angeles County)
                    
                ","$90,000
                        ","$43,000
                        ","$110,000
                        ","N/A
                        ","N/A
                        ","$5,000*
                        "
https://www.bizbuysell.com/Business-Opportunity/techy-cafe-electronics-repair-and-cafe-shop-san-antonio-tx/2006402/?d=undefined,"
                    TECHY CAFE - Electronics Repair & Cafe shop- San Antonio,TX
                ","
                    San Antonio, TX (Bexar County)
                    
                ","$195,000
                        ",,"N/A
                        ","N/A
                        ",,
https://www.bizbuysell.com/Business-Opportunity/established-amazon-listing-led-sound-bar/1994367/?d=undefined,"
                    Established amazon listing / Led sound bar
                ","
                    American Fork, UT (Utah County) (Relocatable)
                    
                ","$30,000
                        ",,"$87,000
                        ","N/A
                        ","N/A
                        ",
https://www.bizbuysell.com/Business-Opportunity/buy-sell-trade-electronics-repair-business-oldsmar-fl/1908596/?d=undefined,"
                    BUY/SELL/TRADE - Electronics Repair Business- Oldsmar, FL
                ","
                    Oldsmar, FL (Pinellas County)
                    
                ","$150,000
                        ",,"N/A
                        ","N/A
                        ",,
https://www.bizbuysell.com/Business-Opportunity/zahlii-sleep-specializes-in-sustainably-made-intimates-and-loungewear/2010382/?d=undefined,"
                    ZAHLII SLEEP specializes in sustainably made Intimates and Loungewear.
                ","
                    Byron Bay, Australia
                    
                ","$180,000
                        ",,"N/A
                        ","N/A
                        ",,
https://www.bizbuysell.com/Business-Opportunity/florist-for-sale-amazing-opportunity-owner-operator-1m-annual-revenues/1962618/?d=undefined,"
                    Florist For Sale Amazing Opportunity Owner Operator 1M Annual Revenues
                ","
                    Queens, NY (Queens County) (Relocatable)
                    
                ","$399,999
                        ","$150,000
                        ","$1,000,000
                        ",,"$175,000
                        ",
https://www.bizbuysell.com/Business-Opportunity/profitable-luxury-turo-car-rental-business/2011748/?d=undefined,"
                    Profitable Luxury Turo Car rental business
                ","
                    Los Angeles County, CA
                    
                ","$350,000
                        ","$120,000
                        ","$1,200,000
                        ","N/A
                        ","N/A
                        ",
https://www.bizbuysell.com/Business-Opportunity/established-amazon-listing-stuffed-animal-brand/1995058/?d=undefined,"
                    Established Amazon Listing / Stuffed Animal Brand
                ","
                    Utah (Relocatable)
                    
                ","$40,000
                        ",,"$100,000
                        ","N/A
                        ","N/A
                        ","$15,000*
                        "
https://www.bizbuysell.com/Business-Opportunity/2-kiosks-in-a-shopping-mall/1842698/?d=undefined,"
                    2 Kiosks In A Shopping Mall
                ","
                    Huntington Station, NY (Suffolk County)
                    
                ","$110,000
                        ",,"$350,000
                        ","N/A
                        ","N/A
                        ",
https://www.bizbuysell.com/Business-Opportunity/own-and-operate-your-business-from-the-comfort-of-your-recliner/2019108/?d=undefined,"
                    Own and Operate your business from the comfort of your recliner.
                ","
                    Albany, NY (Albany County)
                    
                ","$856,600
                        ",,"$685,280
                        ","N/A
                        ","N/A
                        ","$190,680*
                        "
